MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DISTANCE,ORIGIN_CITY_TIME_ZONE,DEST_CITY_TIME_ZONE,SCHD_ARR_TIME_UTC_MINUTES,EXPECTED_DURATION,NEW_ORIGIN,NEW_DEST,ARR_DELAY_CLS
9,16,6,DL,534.0,America/New_York,America/New_York,728,98,Other,ATL,0
3,8,4,DL,250.0,America/New_York,America/Chicago,1230,93,ATL,Other,1
9,6,3,NK,666.0,America/New_York,America/New_York,245,162,ATL,Other,1
5,2,2,EV,780.0,America/New_York,America/New_York,990,127,Other,ATL,0
8,23,3,DL,534.0,America/New_York,America/New_York,934,96,Other,ATL,1
5,19,5,DL,859.0,America/New_York,America/New_York,1150,137,Other,ATL,0
8,15,2,EV,302.0,America/New_York,America/Chicago,828,78,ATL,Other,1
10,24,2,DL,589.0,America/New_York,America/Chicago,1018,109,ATL,Other,0
7,24,1,WN,547.0,America/New_York,America/New_York,1165,130,ATL,Other,1
5,10,3,DL,444.0,America/New_York,America/New_York,1406,109,Other,ATL,1
6,18,7,DL,1199.0,America/New_York,America/Denver,319,196,ATL,Other,0
12,22,5,DL,712.0,America/New_York,America/New_York,1195,79,ATL,Other,0
12,20,3,EV,106.0,America/New_York,America/New_York,359,292,Other,ATL,1
8,7,1,DL,406.0,America/New_York,America/New_York,1159,146,Other,ATL,1
5,13,6,DL,1919.0,America/New_York,America/Los_Angeles,1121,249,ATL,Other,0
8,27,7,F9,1747.0,America/New_York,America/Los_Angeles,1613,220,ATL,Other,0
1,9,2,WN,545.0,America/New_York,America/New_York,67,63,Other,ATL,0
8,5,6,DL,373.0,America/New_York,America/New_York,678,79,Other,ATL,0
8,13,7,DL,731.0,America/Chicago,America/New_York,1365,104,Other,ATL,0
7,16,7,EV,589.0,America/New_York,America/Chicago,1216,124,ATL,Other,1
7,22,6,DL,226.0,America/New_York,America/New_York,1386,136,ATL,CLT,1
8,4,5,DL,516.0,America/New_York,America/New_York,809,137,Other,ATL,1
9,7,4,OO,331.0,America/New_York,America/New_York,1130,112,Other,ATL,1
8,12,6,DL,2172.0,America/New_York,America/Los_Angeles,1210,287,ATL,Other,0
11,8,3,OO,448.0,America/Chicago,America/New_York,1024,81,Other,ATL,0
4,10,2,DL,214.0,America/New_York,America/New_York,1067,42,ATL,SAV,0
12,30,6,DL,545.0,America/New_York,America/New_York,1316,132,Other,ATL,1
4,13,5,DL,352.0,America/Chicago,America/New_York,696,42,Other,ATL,0
3,23,5,DL,2139.0,America/New_York,America/Los_Angeles,1397,313,ATL,Other,0
9,16,6,DL,453.0,America/Chicago,America/New_York,856,97,Other,ATL,1
6,18,7,DL,577.0,America/New_York,America/New_York,882,108,Other,ATL,0
8,4,5,DL,547.0,America/New_York,America/New_York,808,148,Other,ATL,1
8,4,5,DL,516.0,America/New_York,America/New_York,809,137,Other,ATL,1
12,18,1,EV,831.0,America/New_York,America/Chicago,1252,135,ATL,Other,0
3,20,2,DL,749.0,America/New_York,America/New_York,1075,119,Other,ATL,0
1,22,1,DL,782.0,America/New_York,America/Chicago,1350,140,ATL,Other,0
2,26,1,OO,633.0,America/Chicago,America/New_York,861,146,Other,ATL,1
6,6,2,DL,152.0,America/New_York,America/New_York,799,52,Other,ATL,0
9,18,1,DL,534.0,America/New_York,America/New_York,787,105,ATL,Other,1
6,16,5,EV,696.0,America/Chicago,America/New_York,789,101,Other,ATL,0
4,12,4,9E,238.0,America/New_York,America/New_York,1506,175,Other,ATL,1
8,27,7,DL,692.0,America/New_York,America/Chicago,937,109,ATL,Other,0
10,23,1,DL,534.0,America/New_York,America/New_York,249,113,ATL,Other,1
8,24,4,EV,448.0,America/New_York,America/Chicago,847,69,ATL,Other,0
9,8,5,DL,528.0,America/New_York,America/New_York,674,79,Other,ATL,0
2,20,2,F9,594.0,America/New_York,America/New_York,1305,111,ATL,Other,0
2,19,1,DL,554.0,America/New_York,America/New_York,395,146,ATL,Other,1
11,21,2,DL,821.0,America/Chicago,America/New_York,821,113,Other,ATL,0
12,11,1,WN,481.0,America/New_York,America/New_York,1287,91,ATL,Other,1
9,21,4,DL,2092.0,America/New_York,America/Los_Angeles,1486,303,ATL,Other,0
2,8,4,UA,2139.0,America/New_York,America/Los_Angeles,1057,311,ATL,Other,0
6,18,7,OO,227.0,America/New_York,America/New_York,1228,58,Other,ATL,0
10,11,3,DL,749.0,America/New_York,America/New_York,1087,131,Other,ATL,0
3,1,4,DL,432.0,America/New_York,America/New_York,760,108,Other,ATL,0
12,25,1,AA,226.0,America/New_York,America/New_York,771,55,ATL,CLT,0
2,16,5,DL,270.0,America/New_York,America/New_York,1436,37,Other,ATL,0
12,13,3,WN,591.0,America/New_York,America/Chicago,190,154,ATL,Other,1
1,30,2,DL,646.0,America/New_York,America/New_York,965,91,ATL,Other,0
7,27,4,DL,270.0,America/New_York,America/New_York,1087,44,Other,ATL,0
11,25,6,DL,356.0,America/New_York,America/New_York,291,84,ATL,Other,0
12,7,4,DL,581.0,America/New_York,America/New_York,323,105,ATL,FLL,0
4,13,5,DL,526.0,America/New_York,America/New_York,1522,97,Other,ATL,0
12,17,7,DL,731.0,America/Chicago,America/New_York,808,109,Other,ATL,0
8,11,5,EV,773.0,America/New_York,America/Chicago,759,140,SAV,ORD,0
8,8,2,DL,731.0,America/Chicago,America/New_York,1080,130,Other,ATL,0
4,7,6,WN,692.0,America/Chicago,America/New_York,756,111,Other,ATL,0
3,18,7,DL,1993.0,America/Los_Angeles,America/New_York,1318,361,Other,ATL,1
2,27,2,DL,406.0,America/New_York,America/New_York,1155,61,ATL,Other,0
10,3,2,DL,1590.0,America/Denver,America/New_York,1587,189,Other,ATL,0
2,21,3,9E,448.0,America/Chicago,America/New_York,1038,80,Other,ATL,0
12,27,3,DL,1892.0,America/New_York,America/Los_Angeles,1248,316,ATL,Other,1
7,28,5,DL,366.0,America/New_York,America/New_York,1049,84,ATL,Other,0
11,3,5,DL,1919.0,America/New_York,America/Los_Angeles,290,267,ATL,Other,0
1,9,2,DL,2139.0,America/New_York,America/Los_Angeles,355,299,ATL,Other,0
9,16,6,F9,813.0,America/Chicago,America/New_York,1546,117,Other,ATL,0
1,16,2,UA,606.0,America/Chicago,America/New_York,844,115,ORD,ATL,0
2,18,7,DL,447.0,America/New_York,America/New_York,1270,77,Other,ATL,0
7,21,5,DL,545.0,America/New_York,America/New_York,798,83,Other,ATL,0
2,8,4,DL,447.0,America/New_York,America/New_York,870,81,ATL,Other,0
11,30,4,DL,581.0,America/New_York,America/New_York,918,89,ATL,FLL,0
8,22,2,DL,516.0,America/New_York,America/New_York,1495,69,Other,ATL,0
8,1,2,DL,526.0,America/New_York,America/New_York,1163,79,ATL,Other,0
5,29,1,WN,404.0,America/New_York,America/New_York,1091,60,MCO,ATL,0
3,16,5,9E,106.0,America/New_York,America/New_York,1084,51,Other,ATL,0
1,28,7,WN,577.0,America/New_York,America/New_York,180,144,Other,ATL,1
12,13,3,DL,707.0,America/Chicago,America/New_York,1132,104,Other,ATL,0
6,13,2,DL,356.0,America/New_York,America/New_York,702,90,Other,ATL,1
5,10,3,DL,442.0,America/New_York,America/New_York,1184,76,Other,ATL,0
10,31,2,DL,606.0,America/New_York,America/Chicago,980,94,ATL,ORD,0
6,12,1,DL,526.0,America/New_York,America/New_York,687,100,Other,ATL,0
10,15,7,EV,448.0,America/New_York,America/Chicago,1518,112,ATL,Other,1
6,20,2,EV,399.0,America/New_York,America/New_York,1353,676,ATL,Other,1
4,9,1,EV,399.0,America/New_York,America/New_York,1014,52,ATL,Other,0
3,1,4,DL,306.0,America/New_York,America/New_York,792,78,Other,ATL,0
5,19,5,DL,425.0,America/Chicago,America/New_York,1109,85,Other,ATL,0
10,4,3,DL,214.0,America/New_York,America/New_York,1046,42,ATL,SAV,0
2,6,2,YX,547.0,America/New_York,America/New_York,1257,128,Other,ATL,0
2,14,3,DL,484.0,America/Chicago,America/New_York,844,71,Other,ATL,0
2,2,5,9E,399.0,America/New_York,America/New_York,1293,73,ATL,Other,0
2,6,2,OO,164.0,America/New_York,America/New_York,1393,47,ATL,Other,0
6,17,6,EV,448.0,America/New_York,America/Chicago,1330,100,ATL,Other,1
3,16,5,DL,669.0,America/New_York,America/Chicago,1354,109,ATL,Other,0
12,10,7,DL,134.0,America/Chicago,America/New_York,1169,35,Other,ATL,0
3,23,5,DL,907.0,America/Chicago,America/New_York,718,104,Other,ATL,0
1,9,2,DL,589.0,America/Chicago,America/New_York,1200,88,Other,ATL,0
1,25,4,WN,545.0,America/New_York,America/New_York,1011,92,ATL,Other,0
9,30,6,OO,241.0,America/New_York,America/Chicago,1478,52,ATL,Other,0
9,30,6,DL,515.0,America/New_York,America/New_York,815,89,Other,ATL,0
3,26,1,DL,674.0,America/New_York,America/Chicago,174,92,ATL,Other,0
7,25,2,DL,666.0,America/New_York,America/New_York,884,121,Other,ATL,0
7,29,6,DL,373.0,America/New_York,America/New_York,966,81,Other,ATL,0
8,6,7,EV,696.0,America/New_York,America/Chicago,1445,202,ATL,Other,1
11,23,4,DL,302.0,America/New_York,America/Chicago,1124,49,ATL,Other,0
7,24,1,DL,545.0,America/New_York,America/New_York,1024,100,ATL,Other,0
2,9,5,DL,554.0,America/New_York,America/New_York,998,97,ATL,Other,0
7,5,3,EV,106.0,America/New_York,America/New_York,1263,75,ATL,Other,1
10,19,4,WN,1587.0,America/New_York,America/Phoenix,1496,213,ATL,Other,0
4,25,3,DL,341.0,America/New_York,America/Chicago,1313,53,ATL,Other,0
1,29,1,DL,547.0,America/New_York,America/New_York,1065,106,Other,ATL,0
3,12,1,DL,214.0,America/New_York,America/New_York,976,71,ATL,SAV,1
8,8,2,DL,1269.0,America/New_York,America/Denver,1261,189,ATL,Other,0
1,28,7,DL,528.0,America/New_York,America/New_York,1379,104,Other,ATL,0
1,7,7,DL,907.0,America/New_York,America/Chicago,959,140,ATL,Other,0
2,9,5,DL,2092.0,America/Los_Angeles,America/New_York,621,229,Other,ATL,0
7,23,7,DL,406.0,America/New_York,America/New_York,794,111,Other,ATL,1
8,9,3,WN,356.0,America/New_York,America/New_York,240,80,ATL,Other,1
3,30,5,DL,4502.0,America/New_York,Pacific/Honolulu,1446,555,ATL,Other,0
5,5,5,DL,515.0,America/New_York,America/New_York,880,123,Other,ATL,1
8,30,3,DL,874.0,America/New_York,America/Chicago,900,132,ATL,Other,0
10,1,7,DL,874.0,America/Chicago,America/New_York,798,148,Other,ATL,0
2,22,4,DL,669.0,America/Chicago,America/New_York,1222,112,Other,ATL,0
5,21,7,DL,746.0,America/New_York,America/New_York,1347,193,ATL,Other,1
10,10,2,DL,425.0,America/Chicago,America/New_York,891,103,Other,ATL,1
10,21,6,B6,901.0,America/New_York,America/New_York,1312,99,SAV,BOS,0
9,14,4,DL,516.0,America/New_York,America/New_York,1066,90,Other,ATL,0
2,8,4,EV,508.0,America/New_York,America/New_York,956,62,ATL,Other,0
8,22,2,WN,946.0,America/New_York,America/New_York,1598,198,ATL,BOS,1
9,7,4,DL,696.0,America/Chicago,America/New_York,1478,136,Other,ATL,1
3,29,4,DL,192.0,America/New_York,America/New_York,107,100,ATL,Other,1
3,2,5,DL,406.0,America/New_York,America/New_York,132,123,Other,ATL,1
10,13,5,DL,152.0,America/New_York,America/New_York,885,44,ATL,Other,0
4,5,4,DL,692.0,America/New_York,America/Chicago,1384,119,ATL,Other,0
12,27,3,DL,589.0,America/Chicago,America/New_York,834,117,Other,ATL,1
2,27,2,WN,692.0,America/Chicago,America/New_York,1032,99,Other,ATL,0
5,25,4,DL,545.0,America/New_York,America/New_York,1329,102,Other,ATL,0
1,21,7,DL,547.0,America/New_York,America/New_York,193,81,ATL,Other,0
11,21,2,DL,591.0,America/New_York,America/Chicago,131,92,ATL,Other,0
6,20,2,WN,547.0,America/New_York,America/New_York,121,84,ATL,Other,0
12,3,7,DL,547.0,America/New_York,America/New_York,139,60,Other,ATL,0
12,3,7,AA,762.0,America/New_York,America/New_York,960,101,ATL,LGA,0
3,8,4,DL,859.0,America/New_York,America/New_York,1028,113,Other,ATL,0
8,15,2,DL,432.0,America/Indiana/Indianapolis,America/New_York,1526,99,Other,ATL,0
4,4,3,DL,594.0,America/Detroit,America/New_York,866,127,Other,ATL,1
1,16,2,DL,106.0,America/New_York,America/New_York,1343,59,ATL,Other,1
8,21,1,DL,907.0,America/Chicago,America/New_York,1200,119,Other,ATL,0
4,27,5,DL,640.0,America/New_York,America/Detroit,1471,95,ATL,Other,0
4,22,7,DL,534.0,America/New_York,America/New_York,1262,114,Other,ATL,1
9,4,1,DL,1547.0,America/New_York,America/Puerto_Rico,1532,202,ATL,Other,0
7,13,4,DL,731.0,America/Chicago,America/New_York,1291,109,Other,ATL,0
9,1,5,WN,946.0,America/New_York,America/New_York,1162,131,ATL,BOS,0
10,2,1,DL,481.0,America/New_York,America/New_York,1472,73,Other,ATL,0
3,15,4,DL,356.0,America/New_York,America/New_York,161,99,ATL,Other,1
1,6,6,9E,589.0,America/New_York,America/Chicago,1267,95,ATL,Other,0
12,3,7,DL,151.0,America/New_York,America/Chicago,1311,34,ATL,Other,0
8,9,3,WN,515.0,America/New_York,America/New_York,139,118,Other,ATL,1
5,3,3,DL,192.0,America/New_York,America/New_York,1082,43,ATL,Other,0
7,8,6,DL,134.0,America/Chicago,America/New_York,1107,27,Other,ATL,0
5,4,4,DL,432.0,America/Indiana/Indianapolis,America/New_York,1434,133,Other,ATL,1
4,19,4,DL,746.0,America/New_York,America/New_York,1030,80,ATL,Other,0
10,4,3,DL,907.0,America/Chicago,America/New_York,821,125,Other,ATL,0
3,17,6,DL,515.0,America/New_York,America/New_York,238,77,ATL,Other,0
5,13,6,DL,481.0,America/New_York,America/New_York,941,113,Other,ATL,1
3,16,5,DL,746.0,America/New_York,America/New_York,929,120,Other,ATL,0
5,18,4,DL,1747.0,America/Los_Angeles,America/New_York,1584,255,Other,ATL,1
3,4,7,DL,214.0,America/New_York,America/Chicago,166,38,ATL,Other,0
8,24,4,DL,226.0,America/New_York,America/New_York,851,77,ATL,CLT,0
6,19,1,WN,721.0,America/New_York,America/Chicago,1201,152,ATL,Other,1
10,2,1,EV,589.0,America/Chicago,America/New_York,1513,78,Other,ATL,0
7,10,1,DL,606.0,America/New_York,America/Chicago,1265,282,ATL,ORD,1
2,25,7,DL,594.0,America/New_York,America/Detroit,1442,82,ATL,Other,0
3,28,3,DL,640.0,America/New_York,America/Detroit,187,106,ATL,Other,0
1,1,1,DL,746.0,America/New_York,America/New_York,1002,208,Other,ATL,1
7,16,7,DL,746.0,America/New_York,America/New_York,1548,122,ATL,Other,0
3,8,4,DL,341.0,America/Chicago,America/New_York,1452,34,Other,ATL,0
3,25,7,DL,223.0,America/New_York,America/New_York,983,62,ATL,Other,0
6,18,7,DL,341.0,America/New_York,America/Chicago,794,66,ATL,Other,0
11,23,4,DL,425.0,America/New_York,America/Chicago,1255,64,ATL,Other,0
10,11,3,OO,551.0,America/New_York,America/Chicago,305,216,ATL,Other,1
7,27,4,DL,606.0,America/Chicago,America/New_York,823,100,ORD,ATL,0
6,15,4,DL,669.0,America/New_York,America/Chicago,169,120,ATL,Other,1
4,3,2,9E,208.0,America/New_York,America/New_York,1223,73,ATL,Other,1
11,15,3,DL,606.0,America/Chicago,America/New_York,890,112,ORD,ATL,0
11,1,3,DL,946.0,America/New_York,America/New_York,1385,179,Other,ATL,0
4,12,4,9E,304.0,America/New_York,America/New_York,994,109,Other,ATL,1
6,11,7,DL,432.0,America/New_York,America/New_York,1418,68,Other,ATL,0
10,25,3,AA,594.0,America/New_York,America/New_York,119,101,Other,ATL,0
10,19,4,DL,2092.0,America/Los_Angeles,America/New_York,625,255,Other,ATL,0
2,5,1,DL,484.0,America/Chicago,America/New_York,1404,82,Other,ATL,1
12,6,3,DL,271.0,America/New_York,America/Chicago,1173,56,ATL,Other,0
5,10,3,DL,1587.0,America/Phoenix,America/New_York,586,197,Other,ATL,0
3,29,4,WN,406.0,America/New_York,America/New_York,943,74,ATL,Other,0
7,26,3,WN,1747.0,America/Los_Angeles,America/New_York,1259,252,Other,ATL,1
12,12,2,DL,332.0,America/Chicago,America/New_York,107,45,Other,ATL,0
12,16,6,DL,581.0,America/New_York,America/New_York,845,89,FLL,ATL,0
12,10,7,OO,566.0,America/New_York,America/Indiana/Indianapolis,1461,100,ATL,Other,0
1,21,7,9E,589.0,America/Chicago,America/New_York,1373,88,Other,ATL,0
8,19,6,DL,321.0,America/Kentucky/Louisville,America/New_York,1119,44,Other,ATL,0
8,9,3,DL,689.0,America/New_York,America/Chicago,1536,144,ATL,Other,1
7,24,1,DL,481.0,America/New_York,America/New_York,1620,202,ATL,Other,1
12,14,4,EV,448.0,America/Chicago,America/New_York,765,56,Other,ATL,0
5,7,7,DL,406.0,America/New_York,America/New_York,953,74,ATL,Other,0
9,27,3,EV,170.0,America/New_York,America/Chicago,1100,42,ATL,Other,0
8,8,2,WN,762.0,America/New_York,America/New_York,992,285,ATL,LGA,1
6,27,2,NK,425.0,America/Chicago,America/New_York,793,63,Other,ATL,0
11,9,4,DL,563.0,America/New_York,America/Chicago,167,105,ATL,Other,0
11,20,1,AA,1587.0,America/New_York,America/Phoenix,1609,218,ATL,Other,0
10,7,6,DL,581.0,America/New_York,America/New_York,1034,96,FLL,ATL,0
8,17,4,DL,746.0,America/New_York,America/New_York,1387,119,ATL,Other,0
2,24,6,OH,213.0,America/New_York,America/New_York,878,74,Other,SAV,1
5,21,7,DL,645.0,America/New_York,America/Detroit,186,103,ATL,Other,0
11,20,1,DL,1919.0,America/Los_Angeles,America/New_York,1144,265,Other,ATL,0
12,16,6,DL,577.0,America/New_York,America/New_York,1027,186,Other,ATL,1
6,16,5,DL,363.0,America/New_York,America/New_York,687,67,Other,ATL,0
9,26,2,WN,591.0,America/New_York,America/Chicago,1121,97,ATL,Other,0
7,16,7,AS,2172.0,America/New_York,America/Los_Angeles,1048,275,ATL,Other,0
6,7,3,DL,762.0,America/New_York,America/New_York,1076,75,ATL,LGA,0
1,10,3,9E,803.0,America/New_York,America/Chicago,229,113,ATL,Other,0
9,26,2,AA,731.0,America/New_York,America/Chicago,1460,123,ATL,DFW,0
3,7,3,DL,404.0,America/New_York,America/New_York,1225,68,MCO,ATL,0
6,3,6,DL,1547.0,America/Puerto_Rico,America/New_York,895,228,Other,ATL,0
5,21,7,DL,306.0,America/New_York,America/New_York,938,90,Other,ATL,1
6,28,3,DL,620.0,America/New_York,America/New_York,700,105,Other,ATL,0
10,4,3,WN,721.0,America/Chicago,America/New_York,1524,125,Other,ATL,1
6,3,6,WN,669.0,America/New_York,America/Chicago,219,111,ATL,Other,0
7,29,6,EV,722.0,America/New_York,America/New_York,1045,122,LGA,SAV,0
3,17,6,DL,594.0,America/Detroit,America/New_York,735,130,Other,ATL,1
12,1,5,DL,534.0,America/New_York,America/New_York,248,86,ATL,Other,0
3,3,6,DL,2182.0,America/Los_Angeles,America/New_York,1476,284,Other,ATL,1
7,22,6,DL,484.0,America/New_York,America/Chicago,891,70,ATL,Other,0
3,18,7,DL,1640.0,America/New_York,America/Denver,1125,226,ATL,Other,0
12,27,3,AA,666.0,America/New_York,America/New_York,1172,76,ATL,Other,0
5,20,6,DL,481.0,America/New_York,America/New_York,1507,192,Other,ATL,1
1,25,4,OO,689.0,America/New_York,America/Chicago,859,129,ATL,Other,0
9,20,3,DL,270.0,America/New_York,America/New_York,744,57,ATL,Other,0
4,7,6,DL,1638.0,America/St_Thomas,America/New_York,1448,245,Other,ATL,0
3,27,2,DL,2092.0,America/New_York,America/Los_Angeles,1054,288,ATL,Other,0
3,29,4,DL,721.0,America/New_York,America/Chicago,1355,133,ATL,Other,0
5,31,3,DL,762.0,America/New_York,America/New_York,1435,126,LGA,ATL,0
5,15,1,AA,666.0,America/New_York,America/New_York,1268,126,Other,ATL,0
7,12,3,DL,270.0,America/New_York,America/New_York,1065,99,ATL,Other,1
9,14,4,WN,581.0,America/New_York,America/New_York,680,91,FLL,ATL,0
5,10,3,DL,321.0,America/New_York,America/Kentucky/Louisville,91,61,ATL,Other,0
3,1,4,DL,782.0,America/Chicago,America/New_York,1312,206,Other,ATL,1
5,9,2,DL,534.0,America/New_York,America/New_York,776,92,ATL,Other,0
4,24,2,9E,151.0,America/New_York,America/Chicago,825,53,ATL,Other,0
6,21,3,DL,453.0,America/Chicago,America/New_York,1385,58,Other,ATL,0
5,16,2,DL,226.0,America/New_York,America/New_York,938,61,ATL,CLT,0
3,1,4,DL,302.0,America/Chicago,America/New_York,867,76,Other,ATL,0
4,2,1,DL,674.0,America/Chicago,America/New_York,1340,90,Other,ATL,0
10,28,6,AA,666.0,America/New_York,America/New_York,672,80,ATL,Other,0
12,24,7,EV,773.0,America/New_York,America/Chicago,1671,269,SAV,ORD,1
5,4,4,DL,2116.0,America/Los_Angeles,America/New_York,1444,261,Other,ATL,0
4,18,3,9E,143.0,America/New_York,America/New_York,693,38,Other,ATL,0
7,6,4,DL,859.0,America/New_York,America/New_York,806,111,Other,ATL,0
10,20,5,DL,270.0,America/New_York,America/New_York,125,60,ATL,Other,0
7,8,6,EV,300.0,America/New_York,America/New_York,213,68,ATL,Other,0
5,17,3,DL,226.0,America/New_York,America/New_York,1010,46,ATL,CLT,0
7,19,3,DL,669.0,America/New_York,America/Chicago,1340,93,ATL,Other,0
3,13,2,DL,606.0,America/New_York,America/Chicago,893,93,ATL,ORD,0
8,25,5,OO,579.0,America/Chicago,America/New_York,786,110,Other,ATL,0
6,5,1,DL,1590.0,America/Denver,America/New_York,1171,223,Other,ATL,0
2,25,7,AA,1947.0,America/New_York,America/Los_Angeles,1530,292,ATL,Other,0
3,14,3,9E,302.0,America/New_York,America/Chicago,791,62,ATL,Other,0
6,5,1,DL,1892.0,America/New_York,America/Los_Angeles,1129,229,ATL,Other,0
7,13,4,DL,853.0,America/New_York,America/New_York,1239,110,ATL,Other,0
9,24,7,DL,666.0,America/New_York,America/New_York,233,88,ATL,Other,0
7,29,6,DL,1842.0,America/New_York,America/Denver,1141,274,ATL,Other,1
11,5,7,DL,606.0,America/Chicago,America/New_York,1636,258,ORD,ATL,1
9,19,2,DL,666.0,America/New_York,America/New_York,1553,159,ATL,Other,1
